,Pair,K,W,Entropy_RLVR,Entropy_Base,Gap_RLVR,Gap_Base,Necessity_Align,Sufficiency_Ratio
63,Qwen14B_Math500_Final,4,1,0.03615135,0.028575823,0.7504933863664016,0.36681472731789777,1.297224785118695,1.1790340086047357
64,Qwen14B_Math500_Final,4,3,0.012710745,0.17458197,0.7221823910739589,0.5846777632551285,1.3148046608893942,1.1919972449810317
65,Qwen14B_Math500_Final,4,5,0.012529065,0.0017667278,0.4497820373775372,0.9999999989999999,1.2937302888638247,1.2918999334597798
66,Qwen14B_Math500_Final,6,1,0.03744678,0.06110354,0.6643092062704735,0.4703663293252667,1.3733244493291104,1.1600928793635192
67,Qwen14B_Math500_Final,6,3,0.016719941,0.22634056,0.37272442921873006,1.0000045236324695e-10,1.3995133046258474,1.244871644732641
68,Qwen14B_Math500_Final,6,5,0.026698574,0.17310697,0.5966307159120725,0.9999999989999999,1.3450883522477368,1.2511159084113987
69,Qwen14B_Math500_Final,8,1,0.035885494,0.06167156,0.5798188947925438,0.5023471807107205,1.4131127023441077,1.33823684554488
70,Qwen14B_Math500_Final,8,3,0.02628784,0.3737253,0.606132970419999,1.1102230246251565e-16,1.4350744338043988,1.5202768282907175
71,Qwen14B_Math500_Final,8,5,0.03332155,0.15289707,0.5017863617855255,0.0,1.3934969364705316,1.2540062591196923
72,Qwen1.5_Math500_L20,2,1,0.20944455,0.2052075,0.867437639769661,0.8685774488040866,1.0704716840380997,1.0723613402073926
73,Qwen1.5_Math500_L20,2,3,0.2348856,0.29265496,0.9226659660155427,0.5520833333130234,1.0788968393080665,1.0394245552090564
74,Qwen1.5_Math500_L20,2,5,0.37556523,0.10358396,0.8657662947672927,0.7499999997708333,1.041292655485511,1.0270528965325532
75,Qwen1.5_Math500_L20,4,1,0.27636674,0.34879717,0.5607084963647587,0.6548189447040529,1.1813252831007541,1.1210447231571072
76,Qwen1.5_Math500_L20,4,3,0.42001617,0.82699704,0.6601668912952655,0.8511366001531999,1.1701784822776071,1.2484812620409582
77,Qwen1.5_Math500_L20,4,5,0.66123855,0.42949155,0.7110090652829721,0.5917517093083017,1.1030241749256433,1.0792143584484368
78,Qwen1.5_Math500_L20,6,1,0.41927615,0.39093596,0.5081302949018618,0.5449306454208067,1.1960298550077635,1.2494173906619728
79,Qwen1.5_Math500_L20,6,3,0.4765437,0.85089785,0.5672217526458667,0.1913720886647483,1.230827146704729,1.2426603773947253
80,Qwen1.5_Math500_L20,6,5,0.73716235,0.7964508,0.3070632752244845,0.49999999924999994,1.1189862285605852,0.9566856891864556
81,Qwen1.5_Math500_L20,8,1,0.48769656,0.3948706,0.3597753327590344,0.631041637952135,1.2211527154893154,1.2845575071760016
82,Qwen1.5_Math500_L20,8,3,0.4332534,1.3160112,0.19317289637881974,0.5926083609363473,1.3013954960214025,1.4250996193828231
83,Qwen1.5_Math500_L20,8,5,0.8679403,0.68218255,0.43470018971215263,0.16666666652777778,1.1117708843991299,1.062133542989
84,Qwen14B_GSM8K_Final,2,1,0.20784622,0.028750297,0.6310638030416251,0.7912575229548542,1.0990392612165414,0.0
85,Qwen14B_GSM8K_Final,2,3,0.19966815,0.06999081,0.4581048150234118,0.6666666665555555,1.1442321912680242,0.0
86,Qwen14B_GSM8K_Final,2,5,0.21625434,5.5881093e-15,0.4579787303575822,0.0,1.1566450250347595,0.0
87,Qwen14B_GSM8K_Final,4,1,0.26354402,0.03993182,0.4588918481499126,0.7822363228230458,1.2654531272476346,0.0
88,Qwen14B_GSM8K_Final,4,3,0.41477868,0.09517198,0.39872214406534223,0.8333333330615075,1.2699966093841033,0.0
89,Qwen14B_GSM8K_Final,4,5,0.5122313,0.47629,0.4428957110589219,0.0,1.2791846295787757,0.0
90,Qwen14B_GSM8K_Final,6,1,0.26639238,0.045488212,0.3220684158353493,0.2894654214076525,1.35947081859423,0.0
91,Qwen14B_GSM8K_Final,6,3,0.45913047,0.22101644,0.2566189693543426,0.13753298263142244,1.3612551637825656,0.0
92,Qwen14B_GSM8K_Final,6,5,0.6521356,2.9287304e-07,0.43622608456332856,0.0,1.3228457457257794,0.0
93,Qwen14B_GSM8K_Final,8,1,0.46804598,0.030203292,0.19222300273751902,0.011488588916258813,1.4134257337932505,0.0
94,Qwen14B_GSM8K_Final,8,3,0.5215504,0.24369068,0.17014972297367548,0.5270462764926955,1.4292039811344133,0.0
95,Qwen14B_GSM8K_Final,8,5,0.7156911,0.004039935,0.32632579262792083,0.0,1.4033062456966119,0.0
